Category Name,Order Region,Order Profit Per Order
Shop By Sport,Canada,8.244193218112903
Soccer,Western Europe,8.325999624940001
Golf Apparel,US Center ,8.339999903666667
Golf Apparel,South Asia,8.3635714065
Baseball & Softball,Eastern Asia,8.420000231173914
Pet Supplies,Oceania,8.498275763910344
Boxing & MMA,Northern Europe,8.692068988965516
Girls' Apparel,US Center ,8.73346925289796
Health and Beauty,Eastern Asia,8.854819189385545
Trade-In,South America,8.88291278508738
Accessories,West Africa,8.886136563454546
Golf Balls,Eastern Europe,8.892978707574468
Accessories,Southeast Asia,8.932803723345794
Trade-In,South of  USA ,8.947368302263158
Accessories,US Center ,8.965113717659092
Golf Gloves,South America,8.998421074622808
Accessories,West of USA ,9.049578887126316
Golf Apparel,Southern Europe,9.101111199925926
Golf Apparel,East of USA,9.369545419363636
Accessories,East of USA,9.429102711820514
Women's Apparel,West Africa,9.429400805510332
Golf Apparel,East Africa,9.4874997725
Trade-In,South Asia,9.496829179292682
Tennis & Racquet,Southeast Asia,9.553332401999999
Trade-In,East of USA,9.680526414500001
Baby ,Southern Europe,9.684285657964285
Trade-In,West Africa,9.717586162724139
Shop By Sport,South of  USA ,9.762270896302788
Trade-In,East Africa,9.829999924375
Hockey,South America,9.83319995764
Golf Gloves,West Africa,9.872142916357143
Shop By Sport,Oceania,9.946003754075505
Trade-In,North Africa,10.002631614157893
Indoor/Outdoor Games,South of  USA ,10.078167743721854
Baseball & Softball,Southeast Asia,10.105357393678572
Men's Footwear,Canada,10.116446153561983
Fitness Accessories,Southern Africa,10.1450002175
Accessories,Central America,10.149392940925
Baseball & Softball,Eastern Europe,10.181875098125001
Golf Balls,Southern Africa,10.2700003869
Baseball & Softball,Southern Africa,10.298571723428571
Shop By Sport,Western Europe,10.30212682246564
Trade-In,Canada,10.346250043375
Hunting & Shooting,South Asia,10.3613331636
Shop By Sport,Caribbean,10.483432369141003
Indoor/Outdoor Games,West Asia,10.570015033272727
Shop By Sport,US Center ,10.743983351654595
Girls' Apparel,Western Europe,10.832769170953846
Women's Apparel,Canada,10.945178485464286
Basketball,Western Europe,10.969332874977779
Men's Footwear,Eastern Asia,11.018144436103363
Baby ,Eastern Asia,11.057297246189188
Shop By Sport,West Africa,11.067030583506549
Golf Gloves,Northern Europe,11.068031168575757
Men's Footwear,West of USA ,11.091562266578594
Hockey,Southeast Asia,11.101707366536585
Hockey,Caribbean,11.15034484048276
Golf Gloves,West of USA ,11.29649143154386
Golf Balls,Eastern Asia,11.382027032148649
Accessories,South America,11.402799975699999
Golf Shoes,West Africa,11.428750125250001
Electronics,Eastern Europe,11.552142854265306
Golf Apparel,South of  USA ,11.5640000344
Men's Footwear,Central Africa,11.761052656033494
Trade-In,Caribbean,11.9468749266875
Fitness Accessories,Canada,11.966665903333334
Accessories,Western Europe,11.99317209594086
Trade-In,West of USA ,12.160000053214286
Shop By Sport,Eastern Asia,12.173071075083758
Trade-In,US Center ,12.206000096742857
Pet Supplies,South Asia,12.223947340763157
Hockey,West Asia,12.229666889033332
Lacrosse,East of USA,12.399999853076924
Electronics,East of USA,12.419642670350001
Shop By Sport,Central America,12.433407226786372
Accessories,Eastern Europe,12.44372549537255
Lacrosse,Central America,12.523373561445782
Consumer Electronics,Southern Europe,12.548377733986486
Accessories,East Africa,12.649499810550001
Baby ,Western Europe,12.67514286022857
Girls' Apparel,Oceania,12.697414092137931
Electronics,West of USA ,12.705260061630057
Shop By Sport,South Asia,12.715044746419641
Shop By Sport,South America,12.737586938116966
Golf Balls,Caribbean,12.745428473257142
Lacrosse,Eastern Asia,12.751538716923077
DVDs,Northern Europe,12.753729293898305
Water Sports,Southeast Asia,12.766084943692082
Golf Apparel,Central America,12.783733294866666
Men's Footwear,Central America,12.783922693670718
Baseball & Softball,East of USA,12.79551772386207
Men's Footwear,Southeast Asia,12.832449881391762
Tennis & Racquet,Southern Africa,12.83499956
Baseball & Softball,Western Europe,12.835131961671053
Girls' Apparel,Central Africa,12.896110826833333
Electronics,Central America,12.938906828131579
Men's Footwear,Eastern Europe,12.968313446960318
Trade-In,Southern Europe,13.144411550176471
Girls' Apparel,South America,13.153917434608248
Electronics,Eastern Asia,13.161322361553719
Golf Apparel,Western Europe,13.242272594659092
Golf Apparel,South America,13.297352862088234
Golf Apparel,Eastern Europe,13.346667129666665
Shop By Sport,East of USA,13.38764831312712
Women's Apparel,Southeast Asia,13.39162961831111
Tennis & Racquet,South of  USA ,13.447500169625
Fitness Accessories,South America,13.488076770153846
Girls' Apparel,Eastern Europe,13.5268745111875
Girls' Apparel,South of  USA ,13.58029426317647
Hockey,East Africa,13.69249960775
Baseball & Softball,Central Africa,13.771111064444446
Hunting & Shooting,Southern Europe,13.82444421814815
Electronics,Oceania,13.829449995109998
Men's Footwear,Caribbean,13.885037793129735
Men's Footwear,Western Europe,13.926989532296421
Women's Apparel,Central Africa,13.99476641021028
Men's Footwear,South of  USA ,14.021870330222221
Women's Apparel,Oceania,14.02874392018744
Golf Gloves,Central America,14.05700013704375
Electronics,South Asia,14.06394902289172
Girls' Apparel,East Africa,14.088333448333335
Men's Footwear,East of USA,14.117578137540178
Baseball & Softball,West Asia,14.135263491947368
Men's Footwear,South Asia,14.142068618084572
Shop By Sport,West of USA ,14.214455768381049
Shop By Sport,North Africa,14.248823467540108
Baby ,Northern Europe,14.30315781994737
Trade-In,Western Europe,14.30356432190099
Golf Shoes,Southern Europe,14.422646795823528
Men's Footwear,US Center ,14.437418086534006
Men's Footwear,Oceania,14.452819693061297
Shop By Sport,West Asia,14.464946542002673
Men's Footwear,Southern Europe,14.493065723617422
Accessories,Northern Europe,14.58965529087931
Baseball & Softball,Oceania,14.618683994763156
Shop By Sport,East Africa,14.646348002721739
Shop By Sport,Southern Europe,14.687449961029143
Electronics,Caribbean,14.75087231328188
Women's Apparel,Caribbean,14.814320465244423
Hockey,Eastern Asia,14.892499901125
Men's Footwear,South America,14.912192773670021
Indoor/Outdoor Games,Oceania,14.960902749302909
Men's Golf Clubs,Central America,14.963999382461536
Electronics,Central Asia,15.047499736083333
Indoor/Outdoor Games,Caribbean,15.04907013539394
Golf Gloves,Caribbean,15.090172493896551
Shop By Sport,Southern Africa,15.172876865561644
Shop By Sport,Northern Europe,15.180261231311567
Golf Gloves,Canada,15.26600075
Men's Golf Clubs,Southern Europe,15.288917601540543
Cleats,West Asia,15.29831598
Hunting & Shooting,South America,15.30723402825532
Indoor/Outdoor Games,Central Africa,15.320416705
Women's Apparel,Northern Europe,15.326485762086993
Men's Golf Clubs,Western Europe,15.437113926505155
Electronics,Central Africa,15.462424000939395
Fitness Accessories,West Asia,15.4656253235625
Indoor/Outdoor Games,South Asia,15.475069744850977
Men's Footwear,North Africa,15.47771565443823
Camping & Hiking,North Africa,15.510042749416309
Women's Apparel,East Africa,15.515502387808612
Women's Apparel,South Asia,15.555515867177249
Indoor/Outdoor Games,West of USA ,15.56423862079659
Men's Footwear,West Asia,15.63415944935741
Strength Training,Central America,15.702221762222223
Indoor/Outdoor Games,Eastern Europe,15.724556873221518
Indoor/Outdoor Games,Southeast Asia,15.745570136536184
Women's Apparel,Eastern Asia,15.86303206833236
Indoor/Outdoor Games,West Africa,15.897718429152912
Cleats,West of USA ,15.902746754263157
Kids' Golf Clubs,Southern Europe,15.909607025627453
Electronics,South America,15.939341155096898
Electronics,Western Europe,15.948111546195047
Golf Gloves,US Center ,15.948571651885715
Indoor/Outdoor Games,Northern Europe,16.039176606715277
Water Sports,South of  USA ,16.04856316989779
Girls' Apparel,Eastern Asia,16.12826927851923
Cleats,Southern Africa,16.201183896019735
Women's Apparel,Central America,16.22977085913161
Indoor/Outdoor Games,Eastern Asia,16.291810524721264
Women's Apparel,West Asia,16.316341455892953
Girls' Apparel,Canada,16.3769996639
Indoor/Outdoor Games,Canada,16.433853359752295
Indoor/Outdoor Games,South America,16.51249858646163
Hockey,South of  USA ,16.519090933136365
Lacrosse,South America,16.56999963344828
Indoor/Outdoor Games,Central America,16.582309378392715
Indoor/Outdoor Games,US Center ,16.587553905135387
Fitness Accessories,Central America,16.59476192904762
Water Sports,Central Africa,16.679387610816327
Fitness Accessories,West of USA ,16.694444445333332
Girls' Apparel,West Asia,16.707346900877553
Hockey,Eastern Europe,16.756153824538462
Men's Footwear,Northern Europe,16.795298940671582
Women's Apparel,Southern Africa,16.918439805546097
Golf Gloves,Oceania,16.949803846215687
Girls' Apparel,Southeast Asia,16.996760628253522
Girls' Apparel,West Africa,17.01629652274074
Men's Footwear,West Africa,17.058886382735807
Men's Footwear,Central Asia,17.11930247327907
Accessories,North Africa,17.14780492604878
Cleats,East Africa,17.187024974519712
Women's Apparel,South America,17.26952906550582
Girls' Apparel,West of USA ,17.337702593256758
DVDs,Southeast Asia,17.359210821999998
Electronics,Southern Africa,17.39038477507692
Women's Golf Clubs,Southern Europe,17.3955002908
Hunting & Shooting,Southeast Asia,17.532666493066667
Women's Apparel,Eastern Europe,17.571157032613634
Indoor/Outdoor Games,North Africa,17.608506720445334
Golf Gloves,Western Europe,17.707532554584418
Electronics,North Africa,17.71455692721519
Cleats,Oceania,17.755687710490292
Baseball & Softball,South Asia,17.764782241
Tennis & Racquet,Western Europe,17.867500085357143
Hunting & Shooting,Canada,17.88500023
Men's Golf Clubs,Caribbean,17.90461551276923
Women's Apparel,East of USA,17.90787034852662
Water Sports,Western Europe,18.04020776624502
Women's Apparel,Western Europe,18.046347504360188
Lacrosse,North Africa,18.1389999388
Men's Footwear,East Africa,18.173238749271256
Basketball,Southern Europe,18.187500799166664
Indoor/Outdoor Games,Southern Africa,18.195156363898437
Cleats,East of USA,18.244163955023733
Hockey,Central Africa,18.408999728399998
Women's Apparel,Southern Europe,18.419464554945556
Women's Apparel,South of  USA ,18.465522613435898
Cleats,Eastern Asia,18.51538748003444
Lacrosse,South of  USA ,18.606000138
Indoor/Outdoor Games,Western Europe,18.62002917103574
Lacrosse,Eastern Europe,18.6360001483
DVDs,South Asia,18.648695719086955
Golf Apparel,Central Africa,18.829999207500002
Indoor/Outdoor Games,Southern Europe,18.83653022003787
Water Sports,South Asia,18.852243116047944
Girls' Apparel,Central Asia,19.066666464
Cleats,North Africa,19.07773862872614
Cleats,West Africa,19.222519688139766
Electronics,Southern Europe,19.316568582950982
Women's Apparel,North Africa,19.48466316998383
Golf Gloves,South of  USA ,19.520454478045455
Women's Apparel,Central Asia,19.570769303261535
Boxing & MMA,Eastern Asia,19.59647098652941
Cleats,Eastern Europe,19.6770316710371
Cleats,Central America,19.70488962272813
Accessories,Central Africa,19.790952568714285
Golf Gloves,Central Africa,19.835714612714288
Electronics,East Africa,19.863589513076924
Women's Apparel,West of USA ,19.886881458536383
Indoor/Outdoor Games,East of USA,19.894396390089238
Girls' Apparel,North Africa,20.029411497176472
Water Sports,Central Asia,20.12487825797561
Girls' Apparel,South Asia,20.129821636589288
Lacrosse,South Asia,20.187777652333335
Cleats,South Asia,20.188180018387303
Water Sports,US Center ,20.208012142393443
Cleats,Northern Europe,20.333898316179507
Tennis & Racquet,East of USA,20.3386668084
Boxing & MMA,Southern Africa,20.3399991975
Women's Apparel,US Center ,20.392155713428572
Cleats,South America,20.47832848946481
Cleats,US Center ,20.547126002868083
Tennis & Racquet,Oceania,20.60949990995
Girls' Apparel,Southern Europe,20.63615398569231
Water Sports,East of USA,20.6864056554255
Girls' Apparel,Central America,20.701604320368983
Cleats,Central Africa,20.76282170558921
Water Sports,Southern Europe,20.77632845998551
Hockey,Western Europe,20.787738167821427
Fitness Accessories,Central Africa,20.8150005345
Water Sports,Oceania,20.907513052446333
Water Sports,Central America,20.997642940031895
Cleats,South of  USA ,21.03090450697611
Fitness Accessories,Eastern Europe,21.0740003588
Kids' Golf Clubs,Western Europe,21.21861425187952
Baseball & Softball,West of USA ,21.283103296241382
Tennis & Racquet,Eastern Europe,21.387500167
Indoor/Outdoor Games,Central Asia,21.55446144129231
Water Sports,Caribbean,21.83201617140457
Water Sports,South America,21.833458195994236
Women's Clothing,South Asia,21.86510615560993
Fitness Accessories,South Asia,21.916000000666667
Hunting & Shooting,Central Africa,22.0340000272
Cleats,Southeast Asia,22.07573308861194
Cleats,Canada,22.116413711593104
Water Sports,Eastern Asia,22.198445740099253
Cleats,Southern Europe,22.217354089528378
Water Sports,West of USA ,22.252214584277855
Boxing & MMA,West of USA ,22.255714485357142
Cleats,Western Europe,22.295672106604876
Lacrosse,Southeast Asia,22.35181834581818
DVDs,Eastern Asia,22.363448094068964
Boxing & MMA,Western Europe,22.910735126264708
Water Sports,West Asia,22.911125748358348
Tennis & Racquet,Southern Europe,23.055714778857144
Fitness Accessories,South of  USA ,23.101428644857144
Accessories,Canada,23.22928571692857
Cardio Equipment,Oceania,23.291430613375
Consumer Electronics,Southeast Asia,23.35421022563158
Cleats,Caribbean,23.48397829907089
Camping & Hiking,Caribbean,23.53408444451891
Indoor/Outdoor Games,East Africa,23.601279661521325
Golf Shoes,US Center ,23.644285294857145
Fitness Accessories,Southeast Asia,23.89125019325
Hunting & Shooting,Western Europe,24.394533286226668
Baseball & Softball,South America,24.598196588491803
Golf Shoes,South Asia,24.64210576863158
Water Sports,Canada,24.656630439489128
Golf Gloves,Southern Africa,24.69857147571429
Water Sports,North Africa,24.718469118840392
Hockey,Canada,24.76000023
Cardio Equipment,Southeast Asia,24.763716807735847
Golf Shoes,Western Europe,24.78079694399115
Camping & Hiking,Eastern Europe,24.78289292166352
Men's Footwear,Southern Africa,25.008535192019107
Girls' Apparel,Caribbean,25.125161013274194
Golf Gloves,Central Asia,25.187499822999996
Children's Clothing,Southern Europe,25.203618526485712
Electronics,West Asia,25.24110160083898
Music,Southeast Asia,25.44855851763063
Fishing,East Africa,25.459141299651513
Baseball & Softball,Central America,25.67825692644954
Cardio Equipment,West of USA ,25.681996172037433
Fishing,Eastern Asia,25.757952696868802
Water Sports,Southern Africa,25.794526601821055
Kids' Golf Clubs,Northern Europe,25.8190380945
Lacrosse,Western Europe,25.885000123894738
Water Sports,Northern Europe,25.964672509294193
Water Sports,West Africa,25.96491063772917
Women's Clothing,Oceania,26.14247169108427
Cardio Equipment,Western Europe,26.152920025295693
Fishing,Central Africa,26.541726249660716
Fitness Accessories,East of USA,26.573999977800003
Baseball & Softball,Northern Europe,26.760833501083336
Consumer Electronics,Northern Europe,26.823750292125
Hunting & Shooting,Oceania,27.107058946294117
Baseball & Softball,South of  USA ,27.140555699500002
Strength Training,South America,27.263333202499997
Hockey,Southern Africa,27.340000628000002
Camping & Hiking,Northern Europe,27.35631631372785
Golf Shoes,Southeast Asia,27.39000035409091
Cardio Equipment,South of  USA ,27.48602743706507
Fitness Accessories,Western Europe,27.592973137243245
Lacrosse,Central Africa,27.61000061
Cardio Equipment,South Asia,27.656446804740423
Camping & Hiking,Central Africa,27.924724116937007
Women's Golf Clubs,Western Europe,28.03579657415942
Golf Shoes,South of  USA ,28.178181127272726
Camping & Hiking,West Africa,28.265241110365515
Cardio Equipment,West Asia,28.35627649425527
Cardio Equipment,Northern Europe,28.491705160395956
Women's Golf Clubs,South America,28.720909250454543
Kids' Golf Clubs,Caribbean,28.956875326875
Water Sports,Eastern Europe,28.999285858357144
Camping & Hiking,West Asia,29.07015019622103
Music,Eastern Asia,29.120882158980393
Crafts,Oceania,29.152037165907405
Water Sports,East Africa,29.160454662380683
Camping & Hiking,Central America,29.197606378301337
Women's Clothing,Eastern Asia,29.285091399736363
Tennis & Racquet,West of USA ,29.32555591
Sporting Goods,Oceania,29.35483190805618
Tennis & Racquet,North Africa,29.375999618399998
Camping & Hiking,East of USA,29.723239272848588
Camping & Hiking,Canada,30.008517622345682
Sporting Goods,Eastern Asia,30.037654552481484
Tennis & Racquet,South America,30.103792732413794
Baseball & Softball,Canada,30.44000053
Cardio Equipment,Southern Europe,30.462305211688392
Camping & Hiking,Western Europe,30.579782677955556
Cardio Equipment,Central America,30.68594595609951
Baseball & Softball,US Center ,30.726800234120002
Cardio Equipment,US Center ,30.834414936837767
Lacrosse,East Africa,30.84000015
Camping & Hiking,Oceania,30.85998550448212
Soccer,Southern Europe,30.94235258635294
Tennis & Racquet,Canada,31.13666725
Hunting & Shooting,South of  USA ,31.18624972475
Golf Shoes,Central America,31.302871101435183
Cleats,Central Asia,31.40419759128395
Cardio Equipment,Eastern Asia,31.479907852580645
Baseball & Softball,Caribbean,31.523636461030307
Tennis & Racquet,Central America,31.52488914488889
Cardio Equipment,East of USA,31.58884851561616
Men's Golf Clubs,South America,31.611750190575
Cardio Equipment,North Africa,31.658389435817796
DVDs,Oceania,31.748295653704545
Men's Golf Clubs,Northern Europe,31.774516322225807
Golf Shoes,South America,31.80839275082143
Baseball & Softball,Southern Europe,31.843999909833332
Hunting & Shooting,East Africa,31.904999732500002
Consumer Electronics,Eastern Asia,31.96526389542105
Camping & Hiking,Central Asia,32.05153876076923
Golf Bags & Carts,South America,32.0680002211
Baseball & Softball,East Africa,32.30285733185714
Crafts,Eastern Asia,32.4530154221746
Boxing & MMA,Central Africa,32.63999891833334
Camping & Hiking,West of USA ,32.83828983328827
Fishing,Central Asia,32.9059378104375
Hunting & Shooting,Eastern Europe,33.19000069316667
Camping & Hiking,South America,33.20157894742187
Fishing,North Africa,33.249655238952975
Camping & Hiking,South Asia,33.31382166060482
Golf Gloves,Southern Europe,33.81294106115686
Camping & Hiking,Eastern Asia,33.88121907244244
Boxing & MMA,East of USA,34.01947314431579
Tennis & Racquet,West Africa,34.0860001088
Crafts,Southern Europe,34.186888924777776
Golf Bags & Carts,Central America,34.26999943357143
Camping & Hiking,US Center ,34.45559128317635
Women's Golf Clubs,Central America,34.6617498674
Boxing & MMA,South Asia,34.67384628138462
Cardio Equipment,Eastern Europe,35.13933549251048
Consumer Electronics,Western Europe,35.31864502349677
Boxing & MMA,Canada,35.37249976525
Children's Clothing,Northern Europe,35.62429975583
Baseball & Softball,North Africa,35.6366670638
Cardio Equipment,Caribbean,36.077590226261414
Fishing,Caribbean,36.106941153274484
Camping & Hiking,Southeast Asia,36.20330048126144
Fishing,Eastern Europe,36.31290267984433
Fitness Accessories,Northern Europe,36.5756246818125
Lacrosse,Northern Europe,36.57782579795652
Music,Oceania,36.583839656104
Women's Clothing,Southeast Asia,36.85588211384162
Sporting Goods,South Asia,37.288860875189876
Camping & Hiking,Southern Europe,37.49292182822553
Boxing & MMA,East Africa,37.9750008565
Hunting & Shooting,Northern Europe,38.134333105733326
Cardio Equipment,West Africa,38.87679207195849
Children's Clothing,Southeast Asia,39.13865642959701
Cardio Equipment,Southern Africa,39.18077713838889
Soccer,Northern Europe,39.277142250857146
Cardio Equipment,East Africa,39.34554021019595
Consumer Electronics,South Asia,39.542187004875
Tennis & Racquet,Central Africa,39.54750061
Cardio Equipment,South America,39.63294265948339
Men's Clothing,Oceania,39.68448267634482
Golf Bags & Carts,Northern Europe,40.112499715
Health and Beauty,Southeast Asia,40.396293282413794
Golf Shoes,Northern Europe,40.85599999937143
Fishing,Southern Europe,40.867958434920965
Camping & Hiking,East Africa,40.934126047489514
Fishing,South America,41.210530248097555
Boxing & MMA,US Center ,41.45999993333333
Fishing,South Asia,41.54683750671386
Sporting Goods,Southeast Asia,41.91814862166667
Boxing & MMA,West Asia,42.18071401657143
Music,South Asia,42.377291564208335
Camping & Hiking,Southern Africa,42.628791363813185
Fishing,West of USA ,42.72475492079853
Lacrosse,Canada,42.72999954
Fishing,West Asia,42.89473869731535
Golf Bags & Carts,Western Europe,42.97409092318182
Fishing,Oceania,43.01234434301563
Boxing & MMA,Central America,43.38820903782089
Crafts,Northern Europe,43.434426947737705
Fishing,Western Europe,43.94148160876746
Health and Beauty,South Asia,43.97494227557471
Golf Shoes,East of USA,44.168822778058825
Strength Training,Western Europe,44.680175606438596
Garden,Eastern Asia,45.02673253206536
Cameras ,Western Europe,45.66653110738437
Cardio Equipment,Canada,45.7547370866579
Fishing,Northern Europe,45.86921714693362
Golf Shoes,Eastern Asia,46.161818463
Golf Shoes,West of USA ,46.416874470625
Children's Clothing,Western Europe,46.44353236176025
Camping & Hiking,South of  USA ,46.47122678023006
Kids' Golf Clubs,Central America,46.50333288720635
Children's Clothing,Oceania,46.6064986471
